,reviewer name,n_frd,n_reviews
218,The D., 0 friends, 2 reviews
219,Mary Y., 0 friends, 12 reviews
220,Jill W., 12 friends, 17 reviews
221,John C., 0 friends, 1 review
222,Rey S., 9 friends, 4 reviews
223,Seth M., 10 friends, 4 reviews
224,Emily T., 5 friends, 2 reviews
225,Jeff B., 0 friends, 6 reviews
226,San F., 0 friends, 2 reviews
227,Katie F., 13 friends, 36 reviews
228,Tom K., 0 friends, 2 reviews
229,Tony G., 0 friends, 1 review
230,Abhishek K., 3 friends, 8 reviews
231,Jason C., 0 friends, 2 reviews
232,Ashley M., 1 friend, 14 reviews
233,Lindsay L., 5 friends, 3 reviews
234,Dan W., 0 friends, 2 reviews
235,Marnie D., 0 friends, 2 reviews
236,Kevin N., 0 friends, 2 reviews
237,Shree M., 0 friends, 10 reviews
238,Tristan H., 0 friends, 2 reviews
239,Mirzaji K., 0 friends, 9 reviews
240,Raymond P., 9 friends, 12 reviews
241,Rodrick S., 0 friends, 2 reviews
242,Rodolfo M., 0 friends, 2 reviews
243,Mark M., 0 friends, 5 reviews
244,Meredith O., 0 friends, 2 reviews
245,Jenny L., 2 friends, 3 reviews
246,Susan A., 0 friends, 31 reviews
247,Rainbow H., 0 friends, 2 reviews
248,Christopher F., 6 friends, 6 reviews
249,Luke J., 0 friends, 1 review
250,Fred H., 25 friends, 1 review
251,Bryan L., 0 friends, 1 review
252,Cire A., 0 friends, 1 review
253,Julia K., 0 friends, 5 reviews
254,Daria N., 13 friends, 3 reviews
255,Tung H., 17 friends, 5 reviews
256,Chrissy C., 0 friends, 4 reviews
257,Andee L., 0 friends, 1 review
258,Mica M., 10 friends, 3 reviews
259,Maurice V., 0 friends, 1 review
260,Mohsin H., 0 friends, 2 reviews
261,Em Z., 43 friends, 9 reviews
262,Sung Ko K., 0 friends, 21 reviews
263,Matthew S., 0 friends, 1 review
264,R D., 0 friends, 49 reviews
265,C S., 0 friends, 2 reviews
266,Zel C., 0 friends, 12 reviews
267,Enhae K., 0 friends, 1 review
268,Jon D., 0 friends, 2 reviews
269,Edmond K., 4 friends, 7 reviews
270,John H., 1 friend, 16 reviews
271,Al G., 0 friends, 36 reviews
272,Mark M., 0 friends, 1 review
273,Samantha M., 0 friends, 3 reviews
274,Lauren S., 0 friends, 2 reviews
275,Ben C., 5 friends, 5 reviews
276,D B., 0 friends, 10 reviews
277,Sam T., 0 friends, 7 reviews
278,Sophia S., 64 friends, 18 reviews
279,Paul R., 8 friends, 38 reviews
280,Ryan S., 3 friends, 36 reviews
281,Carina S., 0 friends, 4 reviews
282,Ming W., 0 friends, 2 reviews
283,Rasheed H., 1 friend, 3 reviews
284,pretty w., 11 friends, 29 reviews
285,Bella C., 2 friends, 9 reviews
286,Brady J., 12 friends, 30 reviews
287,Arthur M., 0 friends, 2 reviews
288,Steven E., 0 friends, 1 review
289,M D., 93 friends, 80 reviews
290,Hovik B., 137 friends, 342 reviews
291,Bella W., 0 friends, 4 reviews
292,Cmd C., 0 friends, 3 reviews
293,William J., 90 friends, 53 reviews
294,Gonzalo M., 0 friends, 3 reviews
295,Kash S., 52 friends, 29 reviews
296,Tina S., 0 friends, 11 reviews
297,Antonio P., 0 friends, 2 reviews
298,Jen C., 0 friends, 7 reviews
299,Mike H., 4 friends, 2 reviews
300,Vannessa L., 0 friends, 11 reviews
301,Shelley S., 0 friends, 12 reviews
302,VANESSA F., 8 friends, 65 reviews
303,Fancypants X., 169 friends, 1588 reviews
304,Cris M., 1 friend, 8 reviews
305,Sally F., 0 friends, 1 review
306,Mae G., 0 friends, 2 reviews
307,Elizabeth L., 0 friends, 4 reviews
308,Dan K., 0 friends, 2 reviews
309,Paul G., 0 friends, 2 reviews
310,lucy L., 0 friends, 5 reviews
311,shane l., 0 friends, 2 reviews
312,Todd M., 1 friend, 5 reviews
313,S S., 0 friends, 3 reviews
314,debbie n., 0 friends, 10 reviews
315,Mitch D., 2 friends, 24 reviews
316,A. F., 0 friends, 73 reviews
317,Jeremiah O., 0 friends, 2 reviews
318,Susan J., 0 friends, 10 reviews
319,Carter C., 0 friends, 1 review
320,Heidi M., 0 friends, 1 review
321,Mercedes K., 3 friends, 8 reviews
322,Teri L., 0 friends, 6 reviews
323,Sharon M., 0 friends, 2 reviews
324,Kevin C., 7 friends, 3 reviews
325,Johnny L., 0 friends, 10 reviews
326,C M., 0 friends, 1 review
327,Vanessa C., 0 friends, 2 reviews
328,Eve W., 0 friends, 1 review
329,Saveth S., 0 friends, 2 reviews
330,H C., 0 friends, 2 reviews
331,kari j., 5 friends, 5 reviews
332,Lucky I., 0 friends, 2 reviews
333,Isabella A., 0 friends, 3 reviews
334,Michelle K., 8 friends, 11 reviews
335,Patricia R., 0 friends, 1 review
336,Tony E., 0 friends, 2 reviews
337,Jesse L., 0 friends, 2 reviews
338,Margaret A., 0 friends, 2 reviews
339,sfkid s., 0 friends, 1 review
340,Buddy M., 0 friends, 3 reviews
341,Jose A., 0 friends, 1 review
342,Mike L., 0 friends, 1 review
343,Pata D., 0 friends, 12 reviews
344,A B., 0 friends, 1 review
345,Penny L., 0 friends, 2 reviews
346,Robyn A., 0 friends, 9 reviews
347,Odette L., 0 friends, 16 reviews
348,Mimidoo K., 1 friend, 2 reviews
349,Cheryl Y., 10 friends, 10 reviews
350,Charles W., 1 friend, 2 reviews
351,Vic R., 0 friends, 6 reviews
352,Heather W., 0 friends, 2 reviews
353,Carrie B., 2 friends, 1 review
354,Ay C., 0 friends, 3 reviews
355,Ej M., 0 friends, 1 review
356,Samantha J., 0 friends, 2 reviews
357,Kev R., 4 friends, 7 reviews
358,Matthan C., 0 friends, 1 review
359,Diana R., 0 friends, 6 reviews
360,Anthony A., 5 friends, 50 reviews
361,Lyndie W., 0 friends, 9 reviews
362,David C., 0 friends, 5 reviews
363,John B., 0 friends, 1 review
364,Marcus S., 0 friends, 4 reviews
365,Soso D., 0 friends, 1 review
366,Sander C., 6 friends, 24 reviews
367,Ales Z., 0 friends, 1 review
368,Holden M., 0 friends, 2 reviews
369,Peter S., 12 friends, 8 reviews
370,Jack S., 0 friends, 4 reviews
371,Annie L., 0 friends, 5 reviews
372,Gabi G., 0 friends, 3 reviews
373,Arthur B., 0 friends, 7 reviews
374,Kendall N., 0 friends, 102 reviews
375,Neeshae W., 0 friends, 1 review
376,Vanessa R., 0 friends, 7 reviews
377,William P., 0 friends, 1 review
378,Li L., 0 friends, 1 review
379,Bella S., 0 friends, 22 reviews
380,Polly P., 4 friends, 10 reviews
381,samantha d., 0 friends, 1 review
382,Mary G., 0 friends, 7 reviews
383,Callie E., 0 friends, 1 review
384,R S., 0 friends, 2 reviews
385,Haight T., 0 friends, 2 reviews
386,Mark T., 0 friends, 3 reviews
387,Rio B., 1 friend, 22 reviews
388,MaryAnne K., 1 friend, 5 reviews
389,Jill A., 0 friends, 2 reviews
390,Xiao L., 0 friends, 2 reviews
391,Hudson B., 12 friends, 8 reviews
392,Kim C., 0 friends, 22 reviews
393,Jason L., 0 friends, 5 reviews
394,Chuck L., 14 friends, 9 reviews
395,Terry S., 0 friends, 2 reviews
396,Stephanie K., 0 friends, 4 reviews
397,Tyler B., 0 friends, 1 review
398,Vicky N., 0 friends, 6 reviews
399,Karen S., 1 friend, 8 reviews
400,Nicole C., 0 friends, 20 reviews
401,Ryan R., 0 friends, 4 reviews
402,Kirsten J., 4 friends, 14 reviews
403,Isabelle H., 6 friends, 11 reviews
404,TheBusinessMaat O., 0 friends, 19 reviews
405,Christina C., 18 friends, 5 reviews
406,Abc D., 1 friend, 1 review
407,Tom W., 0 friends, 3 reviews
408,Judith J., 16 friends, 4 reviews
409,Belvo N., 0 friends, 2 reviews
410,Mikee B., 4 friends, 4 reviews
411,Isabella F., 0 friends, 4 reviews
412,Maxine J., 17 friends, 3 reviews
413,William W., 0 friends, 2 reviews
414,Dusty N., 5 friends, 2 reviews
415,Bk H., 1 friend, 1 review
416,Nick F., 0 friends, 19 reviews
417,Seth S., 1 friend, 3 reviews
418,Sean L., 0 friends, 1 review
419,Gabriel F., 9 friends, 6 reviews
420,Vanessa H., 0 friends, 2 reviews
421,Caroline K., 0 friends, 1 review
422,R J., 0 friends, 6 reviews
423,A H., 0 friends, 2 reviews
424,Douglas S., 0 friends, 1 review
425,Rachel O., 0 friends, 1 review
426,Steve D., 2 friends, 48 reviews
427,R C., 0 friends, 5 reviews
428,Jason M., 0 friends, 3 reviews
429,Vanessa S., 0 friends, 1 review
430,Charlie B., 0 friends, 5 reviews
431,ERIC W., 0 friends, 1 review
432,LA L., 0 friends, 2 reviews
433,A R., 0 friends, 13 reviews
434,david d., 0 friends, 1 review
435,Nicole J., 0 friends, 5 reviews
